地域（2015）,年齡0~14,年齡15~64,年齡65以上,年齡不詳,男總數,女總數,人口密度
東京都,1518130,8734155,3005516,257470,6666690,6848581,
東京都市部,1508166,8686937,2978482,256861,6623735,6806711,
東京都郡部,9964,47218,27034,609,42955,41870,
特別区部,1002130,6088409,1997870,184331,4567247,4705493,
千代田区,6698,39564,10286,1858,29343,29063,5267.581475
中央区,16798,101311,22694,380,67536,73647,15424.4858
港区,30012,170255,42694,322,114717,128566,12466.37212
新宿区,27060,232488,65274,8738,167258,166302,18852.57958
文京区,23478,146424,41946,7876,105990,113734,20126.12932
台東区,17601,131798,46590,2084,101982,96091,20100.7913
墨田区,26607,169311,58196,2160,127925,128349,19209.51344
江東区,62350,327546,105036,3177,246750,251359,12716.43426
品川区,40415,256619,78247,11574,191090,195765,17457.61821
目黒区,28671,191610,55198,2143,130947,146675,19301.49966
大田区,76485,469449,158190,12958,359753,357329,11974.96301
世田谷区,97019,573317,184512,48498,428874,474472,15877.82946
渋谷区,19156,148581,43899,12897,107986,116547,15221.31039
中野区,26531,223586,67709,10389,165382,162833,21540.28223
杉並区,54535,370649,124460,14353,271737,292260,16902.26072
豊島区,23828,205853,57418,4068,146827,144340,22901.30669
北区,33535,216612,86840,4089,169829,171247,16898.3018
荒川区,23588,137510,48930,2236,105113,107151,21269.48819
板橋区,59238,361101,128058,13519,276592,285324,17813.96648
練馬区,86105,472513,158290,4814,351609,370113,15211.31448
足立区,79365,416200,165151,9406,334922,335200,12723.68075
葛飾区,52325,281456,109059,73,221621,221292,12954.45402
江戸川区,90730,444656,139193,6719,343464,337834,13839.95992
八王子市,66908,355230,140909,14466,291238,286275,3095.326752
府中市,34287,169863,53564,2560,132172,128102,8882.195039
調布市,27647,151021,48182,2211,111921,117140,10909.63855
町田市,55649,262725,109460,4514,212312,220036,6063.49406
西東京市,24180,127840,45992,2000,97830,102182,12829.77778
