鄉鎮市區名稱,0-14歲人口數,15-64歲人口數,65歲以上人口數,男性總數,女性總數,人口密度
七股區,2259,16103,4530,11852,11040,208.5716465
七美鄉,407,2822,637,2002,1864,551.8978645
七堵區,5989,40270,7650,27070,26839,959.2310796
九如鄉,2323,16445,3365,11434,10699,526.1942897
二水鄉,1402,10432,3402,7975,7261,520.4636457
二林鎮,5966,35491,9349,26128,24678,549.0706296
二崙鄉,2731,18402,5959,14490,12602,457.5865687
八里區,4497,29586,4527,19289,19321,974.6716532
八德區,29313,148852,21949,100103,100011,5875.631469
三民區,41478,250762,49745,165341,176644,17347.24511
三地門鄉,1071,5775,827,3858,3815,38.92126387
三芝區,2181,17065,3838,11885,11199,351.5636247
三星鄉,1744,15615,4078,11532,9905,148.8450589
三重區,44873,289041,52230,189835,196309,23747.25746
三峽區,17209,85443,12878,57882,57648,600.2899962
三義鄉,1915,11792,2658,8635,7730,238.3822885
三灣鄉,624,4665,1430,3674,3045,129.1867127
下營區,2345,16771,4940,12402,11654,722.9242658
口湖鄉,2431,19868,5200,14651,12848,343.681178
土城區,29035,184141,24140,116999,120317,8054.286855
土庫鎮,3445,19910,5518,15063,13810,590.1936305
士林區,37118,201259,49168,138703,148842,4622.46786
大內區,760,6540,2388,5236,4452,138.8231111
大甲區,11906,55640,10188,39079,38655,1328.81174
大同區,17082,89519,21977,62674,65904,22754.20224
大同鄉,1085,4574,565,3326,2898,9.279984524
大安區,2101,14004,3170,10159,9116,27282.64122
大安區,46775,202471,60297,144472,165071,704.3733693
大村鄉,4166,27717,4967,19041,17809,1197.711776
大肚區,7887,42247,7249,29299,28084,1549.142758
大里區,32658,158276,20815,103953,107796,7324.195347
大林鎮,3041,21560,6400,15876,15125,486.2053757
大武鄉,656,4556,906,3180,2938,88.46575477
大社區,3518,26521,4612,17557,17094,1300.630435
大城鄉,1583,11165,4114,9085,7777,266.5020411
大埔鄉,439,3403,729,2358,2213,26.3438601
大埤鄉,1944,13255,3927,10264,8862,428.0923522
大湖鄉,1427,10193,2983,7742,6861,162.2420178
大雅區,14927,71831,8813,47650,47921,2937.376006
大園區,13219,66711,9915,45921,43924,1021.609406
大溪區,13242,68951,12548,48266,46475,898.5013404
大寮區,11676,86031,14662,57444,54925,1582.164977
大樹區,4430,31255,6952,21841,20796,638.3442493
小港區,20037,118776,18669,78179,79303,3465.360697
山上區,608,5212,1505,3820,3505,262.3574144
中山區,4198,35855,7575,24116,23512,16862.17759
中山區,28732,160976,40148,106859,122997,4552.348011
中正區,4660,38385,8789,26451,25383,20981.45154
中正區,25997,105921,27834,76174,83578,5108.110225
中西區,10427,53576,13842,37621,40224,12423.32268
中和區,45109,306310,61335,200481,212273,20531.67196
中埔鄉,4083,33230,7408,23270,21451,347.2852845
中區,3230,12104,3228,9205,9357,20958.76406
中寮鄉,1134,10389,3269,8030,6762,101.2041259
中壢區,62301,300309,46273,201320,207563,5295.556717
五股區,10842,65688,9029,43143,42416,2435.777553
五峰鄉,633,3635,511,2558,2221,20.01949694
五結鄉,3551,29884,6156,20432,19159,1020.73476
仁武區,10903,66261,9563,44005,42722,2380.601317
仁愛區,6132,29784,8278,21867,22327,10467.46191
仁愛鄉,2752,11461,1678,8196,7695,12.36561774
仁德區,8989,56402,10129,38189,37331,1487.5587
元長鄉,2215,17523,6113,14141,11710,362.9140405
